fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
02060,AK,877,7,6.3,77257,15.2,0,14.4,22.3,276.9
02068,AK,2059,-7,7.8,75477,7.3,-10.4,9.6,43.5,276.9
02070,AK,5000,65,8.2,54524,31.6,-1.8,13.8,19.3,276.9
02090,AK,98971,-754,5.8,74268,9.4,-12.3,10.4,32.6,276.9
02100,AK,2474,-44,9.5,58943,16.4,-9.4,11.1,37.4,276.9
02105,AK,2151,12,12.6,51188,27.6,-6.4,11.7,23.4,276.9
02110,AK,32113,52,4.4,79173,8.5,-8.8,10.2,39.5,276.9
02122,AK,58533,11,7.7,65439,14.5,-4.8,12.7,23.3,276.9
02130,AK,13918,36,6,68309,12.5,-5,12.8,24.5,276.9
02150,AK,13345,-174,5.8,74109,9.9,0.6,14.4,26,276.9
02158,AK,8303,73,19.9,32728,47.4,-3.6,12.4,4.8,276.9
02164,AK,1587,-20,11.6,49403,23.7,-1,14,15.8,276.9
02170,AK,107610,1227,7.6,74649,11.8,-10.5,11,21.2,276.9
02180,AK,10008,40,11.6,55318,26.9,-8,10.2,14.6,276.9
02185,AK,9872,41,7,89276,15.2,-15.3,6.9,16.6,276.9
02188,AK,7671,-96,14.2,59337,27.7,-10.2,10,11.7,276.9
02195,AK,3221,-38,8.7,66075,9.5,-7.4,10.9,27.6,276.9
02198,AK,6422,-47,10.9,49356,23.4,-2.8,14,17.6,276.9
02220,AK,8647,-39,4.2,71825,8.8,-3.6,13,32.6,276.9
02230,AK,1148,-14,9.8,74635,8.9,-10.6,9.8,33.7,276.9
02240,AK,6918,33,9.6,63527,17.7,-15.9,8.9,19.1,276.9
02261,AK,9164,-60,7.4,68528,12.1,-12.2,9,30.6,276.9
02275,AK,2503,-8,7,57832,16,-5.2,12.7,20.7,276.9
02282,AK,604,-3,8.2,59523,15.3,-7.1,10,20,276.9
02290,AK,5327,-69,15.3,38912,31.4,-12.5,11,13.4,276.9
04001,AZ,71818,273,10.1,33652,47.3,0.1,22.3,11.7,242
04003,AZ,126770,1780,5.6,49164,22.8,7.1,26.4,23,242
04005,AZ,142854,1747,5.5,60187,17.3,0.2,24.1,35.6,242
04007,AZ,53889,260,5.9,43585,33.6,5.3,26.7,18.5,242
04009,AZ,38072,571,5.1,50157,24.4,6.2,27.3,15.3,242
04011,AZ,9483,15,4.3,65818,11.7,4.4,24.4,11.9,242
04012,AZ,21098,363,6.2,37350,31.8,10.8,34.3,12.4,242
04013,AZ,4410824,81244,4.1,65234,18.2,10.2,33.8,32,242
04015,AZ,209550,2436,5.8,45129,26.9,4.8,29.4,12.9,242
04017,AZ,110445,1301,7.8,40650,40.2,0.2,23.9,15.8,242
04019,AZ,1039073,11571,4.5,53395,22.2,9.5,31,31.9,242
04021,AZ,447138,15024,5,58848,17.5,9.6,32.1,19,242
04023,AZ,46511,-125,9.3,40545,36,6.8,25.4,21,242
04025,AZ,231993,3938,4.5,48758,19.2,4.3,26.9,25.2,242
04027,AZ,212128,2372,17,44116,28.3,11.7,34.6,14.8,242
05001,AR,17769,-135,3.4,43887,24.4,9.4,27.4,15.5,207.6
05003,AR,20046,-273,5.5,41127,28.8,11.1,28.9,13.2,207.6
05005,AR,41619,303,4.1,39686,23,5.1,24.9,18.3,207.6
05007,AR,272608,6104,2.9,68978,12.1,4.9,25.2,32.4,207.6
05009,AR,37480,-6,3.5,44482,21.5,4.6,24.7,16,207.6
05011,AR,10897,44,4.5,37729,29.8,10.2,28.4,15.2,207.6
05013,AR,5277,53,3.9,44969,21.1,9.7,28,12.1,207.6
05015,AR,28223,276,3.2,45023,24.8,4.6,24.8,20.4,207.6
05017,AR,10438,-201,6.9,31787,44.1,11.1,28.2,14.7,207.6
05019,AR,22061,-119,3.8,45408,26.4,9.1,27.9,27.6,207.6
05021,AR,14847,-63,4.4,37687,29.3,5.8,25.7,11.6,207.6
05023,AR,24965,-81,4.5,44902,23.8,6.7,25.8,14.9,207.6
05025,AR,8018,-163,3.9,47600,21,9.4,27.6,16.2,207.6
05027,AR,23537,-163,4.8,40909,27.6,10.2,28,20.6,207.6
05029,AR,20891,43,4.4,44565,26.5,7.4,27.1,16,207.6
05031,AR,108558,1521,3.1,45615,24.9,6.8,26.2,26.3,207.6
05033,AR,63406,489,3.6,47363,22.8,6.4,26.8,15.3,207.6
05035,AR,48342,-388,4.3,42606,29,8.7,27.1,18,207.6
05037,AR,16676,-176,4.2,41214,27.6,7.9,26.8,15.4,207.6
05039,AR,7182,-172,4.4,37259,34.2,9.3,27.6,13.7,207.6
05041,AR,11512,-220,4.5,36132,36.1,9.9,27.5,12.4,207.6
05043,AR,18328,-45,5,42494,27.3,10.2,28.1,20.6,207.6
05045,AR,124806,1409,3.3,53882,17.2,7.4,27.1,30,207.6
05047,AR,17810,-34,3.6,43696,23.2,6.4,26.4,11.8,207.6
05049,AR,12269,157,4,35630,32.8,5.4,24.9,11.8,207.6
05051,AR,99154,710,4,43610,35.4,8.3,27.5,20.2,207.6
05053,AR,18188,92,3.1,52050,18.3,8.9,27.7,18.3,207.6
05055,AR,45325,348,3.5,46512,23.5,6.2,25.8,15.9,207.6
05057,AR,21741,-140,3.6,38682,30.9,9.3,28,15.1,207.6
05059,AR,33701,101,3.8,47205,29.7,8.8,27.8,14.7,207.6
05061,AR,13341,-36,3.5,40199,27.3,8.7,27.6,14.7,207.6
05063,AR,37678,269,4.1,45596,20.3,6.3,25.7,18.9,207.6
05065,AR,13593,-87,5.5,37828,27.9,5.6,25.1,13.8,207.6
05067,AR,16811,-246,6.2,36573,30.4,6.6,26.2,10.2,207.6
05069,AR,68114,-1155,5.3,38596,33.8,8.9,27.6,17.8,207.6
05071,AR,26742,253,4.5,39381,33.5,6.2,26,15.8,207.6
05073,AR,6682,-140,5.2,35527,34.8,10.1,28.4,16.5,207.6
05075,AR,16434,-156,3.9,40308,26.8,6.2,25.7,15,207.6
05077,AR,8985,-162,4.8,28080,50.9,9.2,27.1,8.9,207.6
05079,AR,13383,-90,4.3,44951,27.1,9.5,27.6,8.9,207.6
05081,AR,12326,-67,5.3,43559,24.1,9.7,28.5,11.4,207.6
05083,AR,21737,-16,4,41471,29.5,6.9,27,12.1,207.6
05085,AR,73657,779,3.2,56651,15.9,8.1,27.5,20.3,207.6
05087,AR,16481,132,2.9,42674,26.5,4.8,24.5,12.5,207.6
05089,AR,16722,262,4.1,36581,32,4.8,24.8,17.2,207.6
05091,AR,43592,-292,4.8,42162,32.7,10,28.7,16.6,207.6
05093,AR,41239,-834,5.7,36718,35.9,7.6,26.6,12.8,207.6
05095,AR,6900,-152,4.3,32922,38.9,9.1,27.1,10.5,207.6
05097,AR,8924,17,4.8,38318,30.8,8,27.2,10.8,207.6
05099,AR,8326,-2,3.5,37626,30,9.5,27.9,15.4,207.6
05101,AR,7805,-32,3.4,36078,32.9,4.8,24.4,16.2,207.6
05103,AR,23606,-218,4.7,37624,32.7,9.5,27.9,16,207.6
05105,AR,10352,17,4.2,45342,23.7,7.9,27.4,11.9,207.6
05107,AR,18029,-535,6.1,29945,47.9,9.5,27.2,14,207.6
05109,AR,10673,-48,4.2,41534,27.9,8.6,27.6,14.7,207.6
05111,AR,23974,-147,3.8,37370,35.2,7.2,26.6,10.1,207.6
05113,AR,20049,-113,4.2,39048,29.7,7.6,26.8,13.3,207.6
05115,AR,64000,345,4.5,45788,20.4,6.8,26.3,22,207.6
05117,AR,8074,-176,3.9,43245,24.1,8.4,27.2,15.1,207.6
05119,AR,392680,-936,3.5,49957,25.9,8.1,27.4,34.1,207.6
05121,AR,17948,303,4,37799,26.5,5.8,25.6,14,207.6
05123,AR,25439,-499,5.2,33257,46,8.7,26.9,10.6,207.6
05125,AR,121421,1752,3.1,63677,13,8.3,27.4,26.1,207.6
05127,AR,10319,-55,3.7,35826,30.1,7.3,27.1,9.1,207.6
05129,AR,7958,11,4.3,31659,34.9,5.3,24.7,12.5,207.6
05131,AR,127753,-112,3.6,46843,23,7.3,27.4,19.7,207.6
05133,AR,17139,-7,4.7,44100,29.5,9.3,28.1,11.5,207.6
05135,AR,17366,166,4.8,36032,34.4,5.9,25.3,11.3,207.6
05137,AR,12457,-60,4.5,34009,33,5.7,25.1,12.8,207.6
05139,AR,39126,-294,5.6,45335,25.1,10.3,28.5,20.8,207.6
05141,AR,16603,70,5.3,40486,26.9,6.2,25.5,14.1,207.6
05143,AR,236961,4181,2.6,50893,16.9,5.2,25.2,32.8,207.6
05145,AR,78727,-214,4.4,44811,22.4,7.6,26.8,21.4,207.6
05147,AR,6490,-110,4.7,34306,36.4,7.7,26.7,12,207.6
05149,AR,21535,-9,4.2,41729,24.8,7.5,27.2,13.5,207.6
06001,CA,1666753,8622,3,101744,9.8,7.9,22.6,46,279.6
06003,CA,1101,-20,4.6,55384,34.7,-3.9,16.9,30,279.6
06005,CA,39383,832,4,58515,13.8,4,24.4,20.3,279.6
06007,CA,231256,2049,5,50945,20.1,5.6,25.2,26.5,279.6
06009,CA,45602,-40,4,62984,17.5,4.3,24.5,18.7,279.6
06011,CA,21627,-48,12.9,57249,14.1,6.4,25.8,15.4,279.6
06013,CA,1150215,5352,3.2,101463,9.2,7.9,23.4,41.7,279.6
06015,CA,27828,400,5.5,48518,26.6,1.9,19.6,14.3,279.6
06017,CA,190678,1956,3.6,81869,9,1.4,22.3,33.7,279.6
06019,CA,994400,7858,7.5,52318,30.2,3.6,23.4,20.7,279.6
06021,CA,28047,91,6.5,47365,18.6,5.9,25.6,13.9,279.6
06023,CA,136373,-154,3.6,49471,23.2,4.4,20.9,29.8,279.6
06025,CA,181827,253,18.1,46633,30.2,12.1,34.6,14.5,279.6
06027,CA,17987,39,3.9,53793,15.1,4.2,28,26.1,279.6
06029,CA,896764,7776,8,51586,27.4,6.6,27.1,16.1,279.6
06031,CA,151366,1670,7.7,58255,23.2,9.2,27.9,13.5,279.6
06033,CA,64382,220,5.2,45086,26.3,3.9,23.8,15.8,279.6
06035,CA,30802,-321,4.8,57705,15.8,-2.6,19.6,12,279.6
06037,CA,10105518,-13241,4.7,67986,19.9,7.2,24.9,31.8,279.6
06039,CA,157672,1768,7,53632,28.5,3.8,23.5,14.5,279.6
06041,CA,259666,-59,2.4,122933,6.4,8,18.9,58.8,279.6
06043,CA,17471,34,5.3,51402,23.2,1.9,22.9,23.4,279.6
06045,CA,87606,-91,3.9,51386,25.5,5,21.7,24.7,279.6
06047,CA,274765,3425,8.3,56169,28.5,8.7,26.1,14,279.6
06049,CA,8777,-71,7.5,45227,27.2,-2.8,19.4,15.9,279.6
06051,CA,14250,15,3.8,66499,11.6,-4.7,18,30.6,279.6
06053,CA,435594,117,6.3,69665,19.2,7.6,22.4,24.5,279.6
06055,CA,139417,-969,2.9,85624,8.9,7.1,23.8,34.9,279.6
06057,CA,99696,193,3.5,66681,13.7,0.3,21.3,36.6,279.6
06059,CA,3185968,6018,2.9,89373,13.3,10.6,23.5,39.9,279.6
06061,CA,393149,7584,3.2,89175,7.2,1.4,22.1,38.6,279.6
06063,CA,18804,64,7.5,55079,19.6,-2,19.1,23.5,279.6
06065,CA,2450758,33534,4.4,66793,17.1,9.3,30.9,21.8,279.6
06067,CA,1540975,13257,3.8,69475,20.5,8.6,26,30.4,279.6
06069,CA,61537,1338,5.1,80063,11.9,6.2,23.9,19.7,279.6
06071,CA,2171603,18400,4,63310,21.4,7.4,30.9,20.3,279.6
06073,CA,3343364,17896,3.3,78777,14.9,8.6,25.3,38.1,279.6
06075,CA,883305,4139,2.4,110601,10.9,9.2,18.8,57.1,279.6
06077,CA,752660,10144,6,63567,20.5,8.7,25.8,18.4,279.6
06079,CA,284010,1172,2.9,70626,10.8,7.3,23,34.6,279.6
06081,CA,769545,737,2.2,122930,7,8.6,19.6,49.9,279.6
06083,CA,446527,921,3.9,75646,14.7,7.6,21.1,33.8,279.6
06085,CA,1937570,4187,2.6,125933,7.1,7.1,22.4,51.3,279.6
06087,CA,274255,-850,4.9,84213,14.5,8.4,20.4,40,279.6
06089,CA,180040,501,4.9,53908,18.2,2.3,23.4,22.2,279.6
06091,CA,2987,-22,6,52308,18,-2.4,18.7,18.7,279.6
06093,CA,43724,-60,6.7,47560,24.2,-1,20.3,22.5,279.6
06095,CA,446610,2733,3.9,82808,10.2,8.4,24.2,26.2,279.6
06097,CA,499942,-3304,2.7,81002,11.7,7.2,21,34.9,279.6
06099,CA,549815,4548,6.4,59616,21.4,8.3,25.9,16.9,279.6
06101,CA,96807,369,7.5,57879,18,8.4,26.6,17.7,279.6
06103,CA,63916,198,5.7,47572,24.2,4.3,25.2,15.5,279.6
06105,CA,12535,-191,5.7,40680,31.3,1.4,22.1,19.7,279.6
06107,CA,465861,2764,9.6,48763,28.6,2.6,22.4,14.3,279.6
06109,CA,54539,500,4.6,56500,16.5,-0.9,20.2,20,279.6
06111,CA,850967,165,3.8,84170,12.4,6.1,21.9,33.1,279.6
06113,CA,220408,2032,4.2,67804,15.2,8,25.8,41.6,279.6
06115,CA,78041,1266,6.4,47504,21.8,6,25.6,16.7,279.6
08001,CO,511868,7440,3.5,70199,12.6,-3.1,23.4,23.6,285.7
08003,CO,16683,140,4.2,42897,24.3,-5.4,18,26.1,285.7
