item,year,month,day,views
Banana,2020,1,4,4671
Banana,2020,1,5,4719
Banana,2020,1,6,5337
Banana,2020,1,7,5333
Banana,2020,1,8,5442
Banana,2020,1,9,5676
Banana,2020,1,10,5165
Banana,2020,1,11,4524
Banana,2020,1,12,4826
Banana,2020,1,13,5115
Banana,2020,1,14,5597
Banana,2020,1,15,5829
Banana,2020,1,16,5674
Banana,2020,1,17,5417
Banana,2020,1,18,4893
Banana,2020,1,19,5264
Banana,2020,1,20,5545
Banana,2020,1,21,6039
Banana,2020,1,22,5822
Banana,2020,1,23,5784
Banana,2020,1,24,5222
Banana,2020,1,25,5065
Banana,2020,1,26,5246
Banana,2020,1,27,5472
Banana,2020,1,28,5899
Banana,2020,1,29,5767
Banana,2020,1,30,5550
Banana,2020,1,31,5079
Banana,2020,2,1,4624
Banana,2020,2,2,4897
Banana,2020,2,3,5099
Banana,2020,2,4,5568
Banana,2020,2,5,5960
Banana,2020,2,6,5829
Banana,2020,2,7,5340
Banana,2020,2,8,4968
Banana,2020,2,9,5372
Banana,2020,2,10,5670
Banana,2020,2,11,5724
Banana,2020,2,12,5872
Banana,2020,2,13,5745
Banana,2020,2,14,5109
Banana,2020,2,15,5127
Banana,2020,2,16,5525
Banana,2020,2,17,5970
Banana,2020,2,18,6145
Banana,2020,2,19,6186
Banana,2020,2,20,5842
Banana,2020,2,21,5673
Banana,2020,2,22,5033
Banana,2020,2,23,5495
Banana,2020,2,24,6106
Banana,2020,2,25,6101
Chickpea,2019,12,28,1760
Chickpea,2019,12,29,1880
Chickpea,2019,12,30,1921
Chickpea,2019,12,31,1735
Chickpea,2020,1,1,1825
Chickpea,2020,1,2,2257
Chickpea,2020,1,3,2216
Chickpea,2020,1,4,2257
Chickpea,2020,1,5,2475
Chickpea,2020,1,6,2466
Chickpea,2020,1,7,2550
Chickpea,2020,1,8,2408
Chickpea,2020,1,9,2416
Chickpea,2020,1,10,2217
Chickpea,2020,1,11,2258
Chickpea,2020,1,12,2530
Chickpea,2020,1,13,2601
Chickpea,2020,1,14,2321
Chickpea,2020,1,15,2427
Chickpea,2020,1,16,2369
Chickpea,2020,1,17,2188
Chickpea,2020,1,18,2199
Chickpea,2020,1,19,2502
Chickpea,2020,1,20,2484
Chickpea,2020,1,21,2551
Chickpea,2020,1,22,2351
Chickpea,2020,1,23,2385
Chickpea,2020,1,24,2244
Chickpea,2020,1,25,2211
Chickpea,2020,1,26,2425
Chickpea,2020,1,27,2353
Chickpea,2020,1,28,2484
Chickpea,2020,1,29,2705
Chickpea,2020,1,30,2323
Chickpea,2020,1,31,2135
Chickpea,2020,2,1,2145
Chickpea,2020,2,2,2296
Chickpea,2020,2,3,2426
Chickpea,2020,2,4,2275
Chickpea,2020,2,5,2369
Chickpea,2020,2,6,2389
Chickpea,2020,2,7,2149
Chickpea,2020,2,8,2127
Chickpea,2020,2,9,2346
Chickpea,2020,2,10,2620
Chickpea,2020,2,11,2282
Chickpea,2020,2,12,2351
Chickpea,2020,2,13,2315
Chickpea,2020,2,14,1918
Chickpea,2020,2,15,2118
Chickpea,2020,2,16,2313
Chickpea,2020,2,17,2331
Chickpea,2020,2,18,2292
Chickpea,2020,2,19,2459
Chickpea,2020,2,20,2271
Chickpea,2020,2,21,2114
Chickpea,2020,2,22,2014
Chickpea,2020,2,23,2342
Chickpea,2020,2,24,2363
Chickpea,2020,2,25,2585
String Bean,2019,12,28,470
String Bean,2019,12,29,516
String Bean,2019,12,30,517
String Bean,2019,12,31,486
String Bean,2020,1,1,507
String Bean,2020,1,2,592
String Bean,2020,1,3,542
String Bean,2020,1,4,576
String Bean,2020,1,5,612
String Bean,2020,1,6,667
String Bean,2020,1,7,645
String Bean,2020,1,8,709
String Bean,2020,1,9,642
String Bean,2020,1,10,615
String Bean,2020,1,11,595
String Bean,2020,1,12,700
String Bean,2020,1,13,639
String Bean,2020,1,14,687
String Bean,2020,1,15,626
String Bean,2020,1,16,710
String Bean,2020,1,17,642
String Bean,2020,1,18,629
String Bean,2020,1,19,714
String Bean,2020,1,20,691
String Bean,2020,1,21,700
String Bean,2020,1,22,760
String Bean,2020,1,23,648
String Bean,2020,1,24,646
String Bean,2020,1,25,545
String Bean,2020,1,26,662
String Bean,2020,1,27,727
String Bean,2020,1,28,677
String Bean,2020,1,29,680
String Bean,2020,1,30,659
String Bean,2020,1,31,618
String Bean,2020,2,1,522
String Bean,2020,2,2,616
String Bean,2020,2,3,623
String Bean,2020,2,4,669
String Bean,2020,2,5,602
String Bean,2020,2,6,603
String Bean,2020,2,7,534
String Bean,2020,2,8,551
String Bean,2020,2,9,648
String Bean,2020,2,10,630
String Bean,2020,2,11,632
String Bean,2020,2,12,652
String Bean,2020,2,13,590
String Bean,2020,2,14,577
String Bean,2020,2,15,563
String Bean,2020,2,16,559
String Bean,2020,2,17,673
String Bean,2020,2,18,2507
String Bean,2020,2,19,676
String Bean,2020,2,20,649
String Bean,2020,2,21,576
String Bean,2020,2,22,597
String Bean,2020,2,23,650
String Bean,2020,2,24,638
String Bean,2020,2,25,637
Beef,2019,12,28,954
Beef,2019,12,29,1056
Beef,2019,12,30,1070
Beef,2019,12,31,910
Beef,2020,1,1,1034
Beef,2020,1,2,1162
Beef,2020,1,3,1013
Beef,2020,1,4,1252
Beef,2020,1,5,1079
Beef,2020,1,6,1021
Beef,2020,1,7,1050
Beef,2020,1,8,1014
Beef,2020,1,9,1078
Beef,2020,1,10,1043
Beef,2020,1,11,976
Beef,2020,1,12,1075
Beef,2020,1,13,1110
Beef,2020,1,14,1032
Beef,2020,1,15,1128
Beef,2020,1,16,1190
Beef,2020,1,17,1237
Beef,2020,1,18,1095
Beef,2020,1,19,1102
Beef,2020,1,20,1230
Beef,2020,1,21,1207
Beef,2020,1,22,1145
Beef,2020,1,23,1105
Beef,2020,1,24,1086
Beef,2020,1,25,1026
Beef,2020,1,26,1180
Beef,2020,1,27,1216
Beef,2020,1,28,1157
Beef,2020,1,29,1106
Beef,2020,1,30,1339
Beef,2020,1,31,1097
Beef,2020,2,1,946
Beef,2020,2,2,1058
Beef,2020,2,3,1160
Beef,2020,2,4,1136
Beef,2020,2,5,1150
Beef,2020,2,6,1077
Beef,2020,2,7,1107
