page1,page2
Broccoli,Kiwi
Bell Pepper,Kiwi
Bell Pepper,Broccoli
Kiwi,Strawberry
Broccoli,Strawberry
Bell Pepper,Strawberry
Lemon,Strawberry
Kiwi,Lemon
Broccoli,Lemon
Bell Pepper,Lemon
Apple,Banana
Apple,Grape
Banana,Grape
Cucumber,Grape
Bell Pepper,Grape
Apple,Lemon
Banana,Lemon
Grape,Lemon
Cucumber,Lemon
Bell Pepper,Lemon
Grapefruit,Lemon
Kiwi,Lemon
String Bean,Lemon
Apple,Orange
Banana,Orange
Grape,Orange
Lemon,Orange
Corn,Orange
Cucumber,Orange
Bell Pepper,Orange
Grapefruit,Orange
Kiwi,Orange
String Bean,Orange
Apple,Strawberry
Banana,Strawberry
Grape,Strawberry
Lemon,Strawberry
Orange,Strawberry
Corn,Strawberry
Cucumber,Strawberry
Bell Pepper,Strawberry
Pear,Strawberry
Pineapple,Strawberry
Grapefruit,Strawberry
Kiwi,Strawberry
Peach,Strawberry
String Bean,Strawberry
Apple,Corn
Banana,Corn
Grape,Corn
Lemon,Corn
Cucumber,Corn
Bell Pepper,Corn
Grapefruit,Corn
Kiwi,Corn
String Bean,Corn
Apple,Tomato
Banana,Tomato
Grape,Tomato
Lemon,Tomato
Orange,Tomato
Strawberry,Tomato
Corn,Tomato
Cucumber,Tomato
Bell Pepper,Tomato
Pear,Tomato
Pineapple,Tomato
Grapefruit,Tomato
Kiwi,Tomato
Peach,Tomato
String Bean,Tomato
Apple,Cucumber
Banana,Cucumber
Bell Pepper,Cucumber
Apple,Bell Pepper
Banana,Bell Pepper
Apple,Pear
Banana,Pear
Grape,Pear
Lemon,Pear
Orange,Pear
Corn,Pear
Cucumber,Pear
Bell Pepper,Pear
Grapefruit,Pear
Kiwi,Pear
Peach,Pear
String Bean,Pear
Apple,Pineapple
Banana,Pineapple
Grape,Pineapple
Lemon,Pineapple
Orange,Pineapple
Corn,Pineapple
Cucumber,Pineapple
Bell Pepper,Pineapple
Pear,Pineapple
Grapefruit,Pineapple
Kiwi,Pineapple
Peach,Pineapple
