region,salmon,oyster,shrimp,cod,lobster
Pittsburgh PA,24%,6%,26%,17%,27%
Kansas City MO,26%,5%,31%,15%,23%
Knoxville TN,23%,5%,32%,16%,24%
Great Falls MT,32%,4%,31%,20%,13%
Rochester NY,26%,5%,26%,19%,24%
Buffalo NY,23%,5%,24%,20%,28%
Los Angeles CA,27%,6%,31%,15%,21%
Green Bay-Appleton WI,28%,4%,30%,17%,21%
Tucson (Sierra Vista) AZ,28%,4%,30%,16%,22%
Nashville TN,26%,7%,30%,15%,22%
Waco-Temple-Bryan TX,24%,4%,33%,18%,21%
Phoenix AZ,26%,5%,30%,15%,24%
Jackson TN,23%,5%,32%,14%,26%
Lansing MI,29%,4%,25%,18%,24%
Elmira NY,27%,5%,24%,20%,24%
Erie PA,21%,4%,28%,17%,30%
Casper-Riverton WY,26%,4%,29%,16%,25%
St. Joseph MO,19%,3%,27%,18%,33%
Milwaukee WI,27%,5%,28%,17%,23%
Binghamton NY,24%,4%,24%,23%,25%
Madison WI,29%,7%,28%,18%,18%
Minneapolis-St. Paul MN,28%,5%,29%,15%,23%
Grand Rapids-Kalamazoo-Battle Creek MI,30%,4%,26%,16%,24%
St. Louis MO,23%,10%,27%,14%,26%
Fresno-Visalia CA,24%,4%,34%,18%,20%
Columbia-Jefferson City MO,25%,6%,30%,16%,23%
Colorado Springs-Pueblo CO,27%,4%,26%,18%,25%
Minot-Bismarck-Dickinson(Williston) ND,24%,4%,29%,18%,25%
Columbus OH,24%,5%,27%,16%,28%
Yuma AZ-El Centro CA,18%,3%,36%,20%,23%
Flint-Saginaw-Bay City MI,26%,4%,25%,17%,28%
La Crosse-Eau Claire WI,25%,4%,29%,18%,24%
Wausau-Rhinelander WI,28%,5%,30%,18%,19%
Toledo OH,22%,5%,26%,18%,29%
South Bend-Elkhart IN,27%,5%,30%,15%,23%
Dayton OH,23%,4%,25%,18%,30%
Omaha NE,26%,5%,30%,15%,24%
Springfield MO,24%,6%,30%,17%,23%
Odessa-Midland TX,21%,5%,34%,16%,24%
Bakersfield CA,22%,4%,34%,19%,21%
San Angelo TX,21%,6%,32%,16%,25%
Lubbock TX,23%,7%,33%,18%,19%
Indianapolis IN,25%,5%,28%,16%,26%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,20%,6%,31%,17%,26%
Topeka KS,24%,4%,30%,20%,22%
Cincinnati OH,25%,4%,26%,17%,28%
Louisville KY,25%,6%,29%,17%,23%
Albuquerque-Santa Fe NM,28%,5%,29%,15%,23%
Bowling Green KY,21%,5%,27%,18%,29%
El Paso TX,19%,5%,32%,15%,29%
Wheeling WV-Steubenville OH,18%,5%,27%,22%,28%
Lafayette IN,30%,5%,25%,21%,19%
Chattanooga TN,24%,6%,29%,16%,25%
Peoria-Bloomington IL,27%,8%,25%,17%,23%
Tulsa OK,23%,5%,30%,18%,24%
Champaign & Springfield-Decatur IL,23%,5%,28%,16%,28%
Ft. Smith-Fayetteville-Springdale-Rogers AR,25%,7%,30%,18%,20%
Terre Haute IN,21%,5%,26%,19%,29%
Rockford IL,23%,4%,28%,19%,26%
Oklahoma City OK,24%,5%,28%,19%,24%
Sherman TX-Ada OK,22%,4%,31%,18%,25%
Rochester MN-Mason City IA-Austin MN,25%,7%,27%,17%,24%
Clarksburg-Weston WV,24%,6%,30%,22%,18%
Wichita-Hutchinson KS,25%,5%,30%,17%,23%
Fargo-Valley City ND,24%,4%,27%,18%,27%
Parkersburg WV,23%,3%,24%,21%,29%
Lincoln & Hastings-Kearney NE,25%,6%,28%,17%,24%
Rapid City SD,26%,7%,24%,19%,24%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,23%,7%,27%,19%,24%
Cheyenne WY-Scottsbluff NE,24%,6%,25%,19%,26%
Joplin MO-Pittsburg KS,21%,5%,31%,19%,24%
North Platte NE,28%,6%,30%,24%,12%
Evansville IN,23%,4%,27%,18%,28%
Quincy IL-Hannibal MO-Keokuk IA,26%,7%,31%,20%,16%
Tri-Cities TN-VA,23%,6%,28%,20%,23%
Amarillo TX,21%,14%,28%,17%,20%
Wichita Falls TX & Lawton OK,21%,6%,27%,22%,24%
Abilene-Sweetwater TX,26%,5%,29%,20%,20%
Lexington KY,26%,5%,28%,20%,21%
Davenport IA-Rock Island-Moline IL,26%,6%,28%,18%,22%
Harlingen-Weslaco-Brownsville-McAllen TX,17%,10%,35%,18%,20%
Ft. Wayne IN,24%,8%,27%,19%,22%
Des Moines-Ames IA,27%,6%,27%,19%,21%
Sioux Falls(Mitchell) SD,26%,7%,28%,17%,22%
Ottumwa IA-Kirksville MO,28%,11%,30%,23%,8%
Sioux City IA,22%,7%,27%,21%,23%
Charleston-Huntington WV,23%,5%,25%,23%,24%
Bluefield-Beckley-Oak Hill WV,23%,7%,27%,23%,20%
Laredo TX,20%,5%,27%,21%,27%
Glendive MT,,,,,
