item,page,img_number,path
Apple,apple,31,data/wiki_images/182px-Red_Delicious.jpg
Apple,apple,32,data/wiki_images/271px-Shampion_13.01.2013_13-17-30.jpg
Apple,apple,33,data/wiki_images/240px-Mele_stark.jpg
Apple,apple,34,data/wiki_images/270px-The_SugarBee_Apple_now_grown_in_Washington_State.jpg
Apple,apple,35,data/wiki_images/279px-Summerred.jpg
Apple,apple,36,data/wiki_images/279px-Yellow_Transparent.jpg
Apple,apple,37,data/wiki_images/220px-Apfelbaum_Winterrambour_Hochstamm.jpg
Apple,apple,38,data/wiki_images/170px-Blooming_apple_tree.jpg
Apple,apple,39,data/wiki_images/220px-Orchmason.jpg
Apple,apple,40,data/wiki_images/220px-MIN_Rungis_pommes.jpg
Apple,apple,41,data/wiki_images/220px-Apple_tree_leaves_with_insect_damage.jpg
Apple,apple,42,data/wiki_images/220px-Apple_stark_s.jpg
Apple,apple,43,data/wiki_images/100px-Apples.jpg
Apple,apple,44,data/wiki_images/100px-Crab_apples_by_the_roadside_-_geograph.org.uk_-_978786.jpg
Asparagus,asparagus,1,data/wiki_images/110px-Asparagus-Bundle.jpg
Asparagus,asparagus,2,data/wiki_images/220px-Asparagus_image.jpg
Asparagus,asparagus,3,data/wiki_images/210px-Julia_Child_at_KUHT.jpg
Asparagus,asparagus,4,data/wiki_images/220px-Spargel_sauce_hollandaise.jpg
Asparagus,asparagus,5,data/wiki_images/170px-Asparagus_Tip.jpg
Asparagus,asparagus,6,data/wiki_images/220px-Steam-boiling_green_asparagus.jpg
Asparagus,asparagus,7,data/wiki_images/125px-Illustration_Asparagus_officinalis0b.jpg
Asparagus,asparagus,8,data/wiki_images/200px-Green_Asparagus_New_York_11_May_2006.jpg
Asparagus,asparagus,9,data/wiki_images/200px--20120511Spargelernte7.ogv.jpg
Asparagus,asparagus,10,data/wiki_images/200px-AsparagusFernMilduraVictoriaAustralia.jpg
Asparagus,asparagus,11,data/wiki_images/200px-SkFernlikePlant.jpg
Asparagus,asparagus,12,data/wiki_images/83px-Asparagus_NL.jpg
Asparagus,asparagus,13,data/wiki_images/120px-Cr%C3%A8me_d%27asperge_%C3%A0_la_truffe.jpg
Asparagus,asparagus,14,data/wiki_images/67px-Asparagus_officinalis_2.jpg
Asparagus,asparagus,15,data/wiki_images/90px-White_Asparagus_bacon_rice.jpg
Asparagus,asparagus,16,data/wiki_images/120px-Asparagus_aphyllus_-_2018.jpg
Avocado,avocado,1,data/wiki_images/220px-Avocado_with_cross_section_edit.jpg
Avocado,avocado,2,data/wiki_images/170px-Avocado_Seedling.jpg
Avocado,avocado,3,data/wiki_images/170px-Seedless_Avocado_in_Mexico.jpg
Avocado,avocado,4,data/wiki_images/220px-Persea_americana.jpg
Avocado,avocado,5,data/wiki_images/170px-Avocado_cv_Choquette.jpg
Avocado,avocado,6,data/wiki_images/220px-Hass_avocado_-white_background.jpg
Avocado,avocado,7,data/wiki_images/220px-Selling_avocados_in_Santo_Domingo%2C_DR.jpg
Avocado,avocado,8,data/wiki_images/170px-2014_avocado_salad_tomato_salsa_toasted_baguette.jpg
Avocado,avocado,9,data/wiki_images/220px-Guacomole.jpg
Avocado,avocado,10,data/wiki_images/220px-Sliced_avocado.jpg
Avocado,avocado,11,data/wiki_images/220px-2015-08-08_09.11.34_unusual_avocado_%28the_fertility_testicle_fruit%29_variety_from_Cebu_Philippines_2.jpg
Banana,banana,1,data/wiki_images/250px-Banana_and_cross_section.jpg
Banana,banana,2,data/wiki_images/220px-Bananavarieties.jpg
Banana,banana,3,data/wiki_images/93px-Banana_corm.jpg
