fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
02220,8647,-39,4.2,71825,8.8,-3.6,13,32.6,276.9
02230,1148,-14,9.8,74635,8.9,-10.6,9.8,33.7,276.9
02240,6918,33,9.6,63527,17.7,-15.9,8.9,19.1,276.9
02261,9164,-60,7.4,68528,12.1,-12.2,9,30.6,276.9
02275,2503,-8,7,57832,16,-5.2,12.7,20.7,276.9
02282,604,-3,8.2,59523,15.3,-7.1,10,20,276.9
02290,5327,-69,15.3,38912,31.4,-12.5,11,13.4,276.9
04001,71818,273,10.1,33652,47.3,0.1,22.3,11.7,242
04003,126770,1780,5.6,49164,22.8,7.1,26.4,23,242
04005,142854,1747,5.5,60187,17.3,0.2,24.1,35.6,242
04007,53889,260,5.9,43585,33.6,5.3,26.7,18.5,242
04009,38072,571,5.1,50157,24.4,6.2,27.3,15.3,242
04011,9483,15,4.3,65818,11.7,4.4,24.4,11.9,242
04012,21098,363,6.2,37350,31.8,10.8,34.3,12.4,242
04013,4410824,81244,4.1,65234,18.2,10.2,33.8,32,242
04015,209550,2436,5.8,45129,26.9,4.8,29.4,12.9,242
04017,110445,1301,7.8,40650,40.2,0.2,23.9,15.8,242
04019,1039073,11571,4.5,53395,22.2,9.5,31,31.9,242
04021,447138,15024,5,58848,17.5,9.6,32.1,19,242
04023,46511,-125,9.3,40545,36,6.8,25.4,21,242
04025,231993,3938,4.5,48758,19.2,4.3,26.9,25.2,242
04027,212128,2372,17,44116,28.3,11.7,34.6,14.8,242
05001,17769,-135,3.4,43887,24.4,9.4,27.4,15.5,207.6
05003,20046,-273,5.5,41127,28.8,11.1,28.9,13.2,207.6
05005,41619,303,4.1,39686,23,5.1,24.9,18.3,207.6
05007,272608,6104,2.9,68978,12.1,4.9,25.2,32.4,207.6
05009,37480,-6,3.5,44482,21.5,4.6,24.7,16,207.6
05011,10897,44,4.5,37729,29.8,10.2,28.4,15.2,207.6
05013,5277,53,3.9,44969,21.1,9.7,28,12.1,207.6
05015,28223,276,3.2,45023,24.8,4.6,24.8,20.4,207.6
05017,10438,-201,6.9,31787,44.1,11.1,28.2,14.7,207.6
05019,22061,-119,3.8,45408,26.4,9.1,27.9,27.6,207.6
05021,14847,-63,4.4,37687,29.3,5.8,25.7,11.6,207.6
05023,24965,-81,4.5,44902,23.8,6.7,25.8,14.9,207.6
05025,8018,-163,3.9,47600,21,9.4,27.6,16.2,207.6
05027,23537,-163,4.8,40909,27.6,10.2,28,20.6,207.6
05029,20891,43,4.4,44565,26.5,7.4,27.1,16,207.6
05031,108558,1521,3.1,45615,24.9,6.8,26.2,26.3,207.6
05033,63406,489,3.6,47363,22.8,6.4,26.8,15.3,207.6
05035,48342,-388,4.3,42606,29,8.7,27.1,18,207.6
05037,16676,-176,4.2,41214,27.6,7.9,26.8,15.4,207.6
05039,7182,-172,4.4,37259,34.2,9.3,27.6,13.7,207.6
05041,11512,-220,4.5,36132,36.1,9.9,27.5,12.4,207.6
05043,18328,-45,5,42494,27.3,10.2,28.1,20.6,207.6
05045,124806,1409,3.3,53882,17.2,7.4,27.1,30,207.6
05047,17810,-34,3.6,43696,23.2,6.4,26.4,11.8,207.6
05049,12269,157,4,35630,32.8,5.4,24.9,11.8,207.6
05051,99154,710,4,43610,35.4,8.3,27.5,20.2,207.6
05053,18188,92,3.1,52050,18.3,8.9,27.7,18.3,207.6
05055,45325,348,3.5,46512,23.5,6.2,25.8,15.9,207.6
05057,21741,-140,3.6,38682,30.9,9.3,28,15.1,207.6
05059,33701,101,3.8,47205,29.7,8.8,27.8,14.7,207.6
05061,13341,-36,3.5,40199,27.3,8.7,27.6,14.7,207.6
